state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
California,Los Angeles County,06037,05/07/2020,61.041,4.57,substantial
California,Placer County,06061,05/07/2020,4.770,2.66,low
California,San Bernardino County,06071,05/07/2020,20.733,9.47,substantial
California,Siskiyou County,06093,05/07/2020,0.000,,low
California,Ventura County,06111,05/07/2020,10.520,4.56,moderate
California,Yuba County,06115,05/07/2020,suppressed,0.94,low
California,Alameda County,06001,05/07/2020,18.010,4.49,moderate
California,Nevada County,06057,05/07/2020,0.000,0.00,low
California,Riverside County,06065,05/07/2020,33.839,5.62,moderate
California,Sacramento County,06067,05/07/2020,5.154,1.97,low
California,San Mateo County,06081,05/07/2020,23.220,5.71,moderate
California,Tuolumne County,06109,05/07/2020,0.000,0.00,low
California,Fresno County,06019,05/07/2020,23.821,11.24,high
California,Imperial County,06025,05/07/2020,54.631,14.69,high
California,Napa County,06055,05/07/2020,7.260,0.93,low
California,San Benito County,06069,05/07/2020,suppressed,1.87,low
California,San Luis Obispo County,06079,05/07/2020,9.184,1.18,low
California,Santa Cruz County,06087,05/07/2020,4.026,0.73,low
California,Stanislaus County,06099,05/07/2020,10.896,6.68,moderate
California,Amador County,06005,05/07/2020,0.000,,low
California,Kern County,06029,05/07/2020,22.439,9.63,substantial
California,Mariposa County,06043,05/07/2020,75.568,,substantial
California,Mono County,06051,05/07/2020,suppressed,,low
California,Santa Barbara County,06083,05/07/2020,19.933,25.10,high
California,Shasta County,06089,05/07/2020,0.000,0.00,low
California,Santa Barbara County,06083,06/03/2020,26.204,3.22,moderate
California,Tehama County,06103,06/03/2020,suppressed,0.45,low
California,Napa County,06055,06/03/2020,suppressed,1.07,low
California,Plumas County,06063,06/03/2020,0.000,,low
California,San Luis Obispo County,06079,06/03/2020,5.298,1.13,low
California,San Mateo County,06081,06/03/2020,30.917,4.02,moderate
California,Amador County,06005,06/03/2020,0.000,,low
California,Calaveras County,06009,06/03/2020,suppressed,,low
California,Glenn County,06021,06/03/2020,suppressed,,moderate
California,Imperial County,06025,06/03/2020,601.495,25.61,high
California,Mariposa County,06043,06/03/2020,0.000,,low
California,Mendocino County,06045,06/03/2020,suppressed,1.08,moderate
California,Nevada County,06057,06/03/2020,0.000,0.93,low
California,San Benito County,06069,06/03/2020,25.474,3.73,moderate
California,Siskiyou County,06093,06/03/2020,suppressed,,low
California,Solano County,06095,06/03/2020,14.967,2.26,moderate
